id,title,price,price_per_sqm,rooms,area_total,area_living,area_kitchen,floor,floors_total,district,address,metro,year_built,house_type,deal_type,property_type,description,url,source,label,collected_at
cia_bee0d582,Яркая солнечная студия для 3-х,,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/309726510/?context=3.e9Z-HPf0iIw.5T3uv_j5-MPG50i9fCUYeZ1fRsDjkSGd5gNnfoC-VAgpAi0QN7Np9a3YpytLZOhtyDgwxF6YWa6ulQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.765092
cia_f74e90f2,"Citi Apartments: 250м2, два этажа",,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/280736048/?context=3.kI_iKV6F93c._lJ64F0Gd6WPffRFCCLj8a88ynLb4saD8jRF6RJO6lWx1PiNFkNJISK1uF3hxa2iUxvvJDlkSQW5nA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.767135
cia_c8d6b5ca,Duplex Benua  от CITI Apartments,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/289889982/?context=3.p3pbN0fM1u4.5hKGHE7xVrDqdMMUIOn9aY8St03jZTCYlcPS7H7hyIxRoGrGpEWNcT1K6Vvvl4rDYdYpkS9VELTXDA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.769215
cia_aad8163d,Уютные апартаменты у метро,41000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/323789529/?context=3.NSOmHSnmo_s.RM0-hAifbeeqwkzu4r0fC3uXHWR8V429wGHVX1L20y_jAsvbQ4Hk5wstWYDlgX6ZGC0R7VBEKO0waQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.770693
cia_15ae6550,"1-комн. квартира, 38 м², 19/26 этаж",54000.0,,1.0,38.0,,,19.0,26.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/291524253/?context=3.EqKR7b1A0NQ.Ig_3r1-cegsMez5Q8bjvhBFONiwxFm3vQmp_9_124Dy8GtM7XBtnPm-utyqq0hR-nIcbWYIHgElH5g&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.772092
cia_2571e443,"Студия, 18 м², 1/5 этаж",20999.0,,0.0,18.0,,,1.0,5.0,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/326930515/?context=3.JINt55Ph-NM.0aZC6lHSoDQEkTAjucRn87LQUPLp1zYbQfqwoaq9QSCldyf63ZO0Gg9LtRO59rxiimd-iq0R0Y7fJQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.773023
cia_0ec3caa2,Уютная Студия в Центре СПб!,,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/297214091/?context=3.P6Sp8FWOdTE.ZICuFCl9wnBkInBc6gGAR1hWu-3WhESmEhr5eaUk1qfpt0B5IPKLcWljnSf9NvarmVnTTG66g90Jsg&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.775081
cia_da53fbf2,Уютная студия на Восстания,,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/276682045/?context=3.LwRvUGPW0tI.gRJDft00mzLthy_pxqG-utyX5MK0uy1Ap2ByGuz4grxG9pgw2HkG8xFsMmGIryRz9ecCD797tJd1PA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.777238
cia_164295b1,Терраса с видом у Русского музея,,,,,,,,,,Санкт-Петербург,,,,sale,house,,https://spb.cian.ru/rent/flat/286885104/?context=3.QJYaLI3xXOk.enyFQrqllGvWj2OP4io0lNMZ8QTgQNE8Hleh-u7O2WcniEqrErYw0o1mIVfNexDnGx-205lW03tnng&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.779303
cia_112d4afd,Квартира и Исаакиевского собора,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/312656832/?context=3.JQhVFzL4CVw.C9auPdoPD-6QmlcT3_q7tktEnQmmx8bQEaik30zSnHqaR7z_KDJjle92RIZk_sUjR2QI9CYYagttXA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.781378
cia_17b4d11b,Квартира нашего времени,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/326865228/?context=3.B1Bq80UC4X0.RO2kcdBOqbO34KcP69WmBI6L2lBn5VUfEE3VVCH8r0zqa4ndlxfmdG64YIB2xYJuaAYdl4qgyyD6qA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.783460
cia_7958f8ab,"1-комн. апартаменты, 16,7 м², 3/18 этаж",41000.0,,1.0,16.7,,,3.0,18.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/323012316/?context=3.fJ2RlSPdP68.7_yOGKXf28qBtodCLd8k391oBxItVh52z8NtytUM0nApO9WvfHJ49SrymIarss-1XIIjsO0zn-JJ9g&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.784885
